ENSMUST00000097833	Gm10568
NM_028672	Fam161a
NM_134014	Xpo1
AK132720	1700030C12Rik
NM_028304	Pus10
NM_016707	Bcl11a
ENSMUST00000044347	4933427E13Rik
NR_030419	Mir216b
NR_029797	Mir216a
NR_029828	Mir217
NM_146015	Efemp1
XR_031095	LOC100046559
NM_027869	Pnpt1
NM_176841	Ccdc88a
NM_133767	Mtif2
NM_028504	1700034F02Rik
NM_194054	Rtn4
ENSMUST00000101403	Gm8098
NM_134013	Psme4
NM_023906	Asb3
NM_175490	Gpr75
NM_026252	Cpeb4
BC114574	4930524B15Rik
NM_008741	Nsg2
XR_033651	Gm12109
NM_030093	Snrnp25
NM_010822	Mpg
NM_010405	Hba-x
NM_008218	Hba-a1
NM_001033981	F830116E18Rik
NM_001083955	Hba-a2
NM_175000	Hbq1
NM_177364	Sh3pxd2b
NM_173784	Ubtd2
NM_009288	Stk10
NM_134015	Fbxw11
AK006938	1700072H12Rik
ENSMUST00000101371	D130052B06Rik
NM_031169	Kcnmb1
NM_010696	Lcp2
NM_001025382	Fam196b
NM_011412	Slit3
NR_029799	Mir218-2
NM_145962	Pank3
NR_029754	Mir103-1
NM_026023	Nudcd2
ENSMUST00000069051	Gm9972
NM_176999	Atp10b
NM_148673	Slu7
NM_026979	C1qtnf2
NM_001045530	Ccnjl
ENSMUST00000056256	4933415A04Rik
NM_027557	Pwwp2a
NM_008352	Il12b
NM_028862	Rnf145
XR_031806	Gm12164
NM_001045520	Clint1
NM_173384	Sox30
NM_009616	Adam19
NM_177075	C030019I05Rik
NM_001013783	Fam71b
NM_025426	Med7
NM_134250	Havcr2
BC052651	BC053393
NM_134248	Havcr1
NM_178759	Timd4
XR_031591	Gm12176
NM_008143	Gnb2l1
NR_028563	Snord96a
NR_028564	Snord95
NM_053166	Trim7
NM_008330	Ifi47
NM_146877	Olfr1395
NM_146276	Olfr1394
NM_001024846	Zfp62
NM_001110148	Mgat1
NM_146471	Olfr1393
NM_146470	Olfr1392
NM_206822	Olfr10
NM_146468	Olfr1391
NM_147065	Olfr1390
NM_147066	Olfr1389
NM_146467	Olfr1388
NM_146473	Olfr1387
NM_001011805	Olfr1385
NM_146472	Olfr1384
NM_207574	Olfr1383
NM_001011790	Olfr1382
NM_207573	Olfr1380
NM_008029	Flt4
NM_170727	Scgb3a1
NM_013529	Gfpt2
NM_001163672	Mapk9
NM_029004	Rasgef1c
NM_021540	Rnf130
NR_029769	Mir340
NM_029745	Tbc1d9b
NM_026543	3010026O09Rik
NM_145926	Mgat4b
ENSMUST00000052596	Cby3
NM_021510	Hnrnph1
NM_175643	Adamts2
NM_173372	Grm6
NM_146910	Olfr1378
NM_146911	Olfr1377
NM_009329	Zfp354a
ENSMUST00000101255	9230009I02Rik
ENSMUST00000074198	Gm12569
NM_007714	Clk4
NM_153393	Col23a1
NM_028398	Agxt2l2
NM_026631	Nhp2
NR_027958	D930048N14Rik
NM_025535	Sar1b
NM_029976	Cdkn2aipnl
NM_153785	Cdkl3
NM_019411	Ppp2ca
NM_011543	Skp1a
NM_011694	Vdac1
NM_153117	9530068E07Rik
NM_177059	Fstl4
NM_026479	Zcchc10
NM_033565	Aff4
NM_008110	Gdf9
NM_027917	Shroom1
XM_621250	Rpl9-ps3
NM_033144	Sept8
NM_008443	Kif3a
XR_002067	Rps2-ps4
NM_010558	Il5
NM_001136076	P4ha2
NM_001033598	Acsl6
NM_029105	4930404A10Rik
NM_173753	Fnip1
NM_175258	Rapgef6
NM_008248	Hint1
NM_001083929	Gpx3
NM_010299	Gm2a
NM_153139	Slc36a1
NM_013716	G3bp1
NR_028480	Gm12238
NM_001113325	Gria1
NM_145426	Mfap3
ENSMUST00000066987	Galnt10
NM_001081168	Sap30l
NM_026949	Cnot8
NM_175001	Mrpl22
NM_001135115	Gm12250
NM_019440	Irgm2
ENSMUST00000108834	4930438A08Rik
NM_182996	Zfp692
NM_001161338	Sh3bp5l
NM_001083884	2210415F13Rik
NM_027239	1810065E05Rik
NM_001045542	Gm12253
NM_207153	Olfr325
NM_001011743	Olfr324
NM_001039047	Trim58
NM_207693	Olfr179
NM_207230	Olfr320
NM_146500	Olfr319
NM_146538	Olfr315
NM_001011760	Olfr314
NM_001011819	Olfr312
BC058081	2810021J22Rik
NM_138678	Butr1
NM_030082	Hist3h2ba
NM_031172	Trim17
NM_178218	Hist3h2a
XM_905850	Gm12260
NM_053168	Trim11
ENSMUST00000101162	Gm10435
NM_026035	Mrpl55
NM_139298	Wnt9a
NM_178659	Jmjd4
NM_145827	Nlrp3
NM_001011740	Olfr225
NM_012027	Mprip
NM_134029	Nt5m
NM_138675	Med9
NM_009021	Rai1
NM_029044	Lrrc48
NM_025757	4933439F18Rik
NM_021354	Drg2
NM_010862	Myo15
NM_172943	Alkbh5
NM_008502	Llgl1
ENSMUST00000018743	Smcr7
NM_001085440	Smcr8
NM_001172112	Dhrs7b
NM_008928	Map2k3
NM_010603	Kcnj12
NM_021349	Tnfrsf13b
NM_007436	Aldh3a1
NM_029568	Mfap4
NM_013717	B9d1
NM_027817	Grap
NM_178618	Fam83g
NM_001029936	Cytsb
NM_007413	Adora2b
NM_028360	Ttc19
NM_001039536	Pigl
NM_011706	Trpv2
NR_028526	Snord49b
NR_028550	Snord49a
NM_175002	Mmgt2
ENSMUST00000101060	Gm10428
NM_053169	Trim16
NM_001033669	Fbxw10
BC115504	Fam18b
NM_025496	Cdrt4
NM_027660	Tekt3
NM_008885	Pmp22
NM_178870	Hs3st3a1
NM_023479	Elac2
NM_026107	Zkscan6
NM_178656	A530088H08Rik
NM_177392	Tmem220
NM_001040026	Sco1
NM_001099635	Myh3
NM_001039545	Myh2
NM_030679	Myh1
NM_010855	Myh4
NM_177369	Myh8
NM_001081250	Myh13
NM_008088	Gas7
NM_009038	Rcvrn
ENSMUST00000084600	Gm12302
NM_001013013	Dhrs7c
ENSMUST00000068548	9130017K11Rik
NM_018768	Stx8
NM_177320	Pik3r5
NM_001081566	Pik3r6
NM_146004	Mfsd6l
NM_177779	Ccdc42
NM_175260	Myh10
NM_177060	Rnf222
NM_009080	Rpl26
NM_028048	Slc25a35
NR_026565	1500010J02Rik
NM_011496	Aurkb
NM_028336	Tmem107
NM_009497	Vamp2
NM_001159367	Per1
NM_011786	Aloxe3
NM_009659	Alox12b
NM_001024206	Trappc1
NM_010599	Kcnab3
NR_027827	A030009H04Rik
NM_030083	Lsmd1
NM_001127233	Trp53
NM_026991	Sat2
NM_011814	Fxr2
NM_009235	Sox15
NM_029348	Zbtb4
BC117077	1810027O10Rik
NR_033133	Plscr3
NM_001013414	Neurl4
NM_019726	Gps2
NM_016875	Ybx2
NM_016887	Cldn7
NM_019749	Gabarap
NM_030064	Phf23
NM_007888	Dvl2
NM_007864	Dlg4
NM_009714	Asgr1
NM_007493	Asgr2
NM_145137	Mgl2
NM_010796	Clec10a
NM_153081	Slc16a11
NR_030444	Mir497
NR_029581	Mir195
NM_145429	Arrb2
NM_025397	Med11
NM_001029929	Zmynd15
NM_029360	Tm4sf5
NM_146020	Gltpd2
NM_008946	Psmb6
NM_001045959	Mink1
NM_010326	Gp1ba
NM_027445	Rnf167
NM_007933	Eno3
NM_177565	Zfp3
NM_019400	Rabep1
NM_027186	Rpain
NM_025993	Mis12
ENSMUST00000100923	9230020A06Rik
NM_177618	Wscd1
NM_144526	Fam64a
NM_026559	Txndc17
NM_001163728	4930563E22Rik
NM_001037713	Xaf1
NM_001099688	Fbxo39
NM_027819	Ggt6
NM_016776	Mybbp1a
NM_025985	Ube2g1
NM_009671	Ankfy1
NM_001045536	Zzef1
NM_016745	Atp2a3
NM_008771	P2rx1
NM_018883	Camkk1
NM_025818	1200014J11Rik
NM_008399	Itgae
NM_033321	P2rx5
NM_029031	Shpk
NM_001001445	Trpv1
NM_145099	Trpv3
NM_001045531	Spata22
NM_146923	Olfr20
NM_001172686	Olfr376
NM_207224	Olfr384
NM_001126489	Zfp735
NM_146347	Olfr390
NM_010970	Olfr23
NM_146346	Olfr397
NM_001177570	Zfp616
NM_146706	Olfr401
NM_146708	Olfr402
NM_207622	Olfr403
NM_001011863	Olfr406
NM_011002	Olfr59
NM_001011851	Olfr412
BC150886	E130309D14Rik
BC072573	1300001I01Rik
NM_026197	Mett10d
NM_010813	Mnt
NM_177325	Tsr1
NM_001002764	Smg6
NR_029794	Mir212
NR_029546	Mir132
NM_177708	Rtn4rl1
NM_001102611	Smyd4
NR_030711	2210403K04Rik
NM_027249	Tlcd2
NM_138659	Prpf8
NM_001029938	Rilp
NM_001004157	Scarf1
NM_173388	Slc43a2
NM_008850	Pitpna
NM_008916	Inpp5k
NM_008659	Myo1c
NM_133656	Crk
NM_009536	Ywhae
NM_198637	1700016K19Rik
NM_027773	Fam57a
NM_021294	Dbil5
NM_183263	Rnmtl1
NM_019818	Timm22
NM_177182	Bhlha9
NM_177709	Tusc5
NM_025655	Tmigd1
NM_178645	Blmh
NM_010484	Slc6a4
NM_139128	Coro6
NM_001004144	Git1
NM_001024205	Nufip2
XR_034860	Gm11191
NM_011586	Myo18a
NM_021286	Sez6
NM_174852	Phf12
NM_008028	Flot2
NR_029556	Mir144
NR_029971	Mir451
NM_026708	Tlcd1
NM_033475	Rab34
NM_001045516	Proca1
NM_009143	Sdf2
NM_001002004	2610507B11Rik
ENSMUST00000046361	BC030499
NM_017407	Spag5
NM_009657	Aldoc
NM_201406	Pigs
NM_011676	Unc119
NM_026740	Slc46a1
NM_011707	Vtn
NM_008759	Sebox
NM_026389	Poldip2
NM_018854	Ift20
NM_001076681	1810012P15Rik
NM_010927	Nos2
NM_010897	Nf1
NM_175543	Rab11fip4
NR_029579	Mir193
NR_029959	Mir365-2
ENSMUST00000100735	Gm10387
NM_199196	Suz12
NM_001029856	Atad5
NM_172133	Adap2
NM_028019	Rnf135
NM_001163354	Rhot1
NM_139228	Rhbdl3
ENSMUST00000017567	Zfp207
NM_178616	Psmd11
NM_009871	Cdk5r1
NM_029537	Tmem98
NM_029367	Spaca3
ENSMUST00000021044	5530401A14Rik
NM_011333	Ccl2
NM_013654	Ccl7
NM_011330	Ccl11
NM_011331	Ccl12
NM_021443	Ccl8
NM_023438	Tmem132e
NR_033582	Gm11426
NM_025884	Zfp830
NM_010716	Lig3
NM_030224	Fndc8
NM_183201	Slfn5
NM_011408	Slfn2
NM_011407	Slfn1
NM_011410	Slfn4
NR_028362	Snord7
NM_001035854	Ap2b1
NM_001013386	Rasl10b
NM_025492	1700020L24Rik
NM_027427	Taf15
ENSMUST00000063354	E230016K23Rik
NM_013652	Ccl4
NM_001081957	Gm11428
NM_007969	Expi
NM_183249	1100001G20Rik
NM_145432	Heatr6
NM_009330	Hnf1b
NM_030096	Ddx52
NM_001115009	Synrg
ENSMUST00000100684	Gm10374
NM_025414	Myo19
NM_007607	Car4
NM_028589	1700125H20Rik
NM_138681	Bcas3
NM_009324	Tbx2
NM_011536	Tbx4
BC067002	4632419I22Rik
NM_029788	Rnft1
NM_019756	Tubd1
NM_175004	Ptrh2
NM_025377	Fam33a
NR_029652	Mir301
NM_197987	Trim37
NM_031386	Tex14
NR_004415	Rnu3b1
NM_011129	Sept4
NM_133215	Mtmr4
NM_001045527	Hsf5
NM_172448	Rnf43
NM_009296	Supt4h1
NR_029555	Mir142
NM_172449	Bzrap1
NM_010824	Mpo
NM_001039684	Mks1
ENSMUST00000056535	Gm11507
NM_173374	Sfrs1
NM_016686	Vezf1
NM_198013	Cuedc1
NM_024174	Mrps23
NM_028859	1700106J16Rik
NM_016706	Coil
NM_009546	Trim25
ENSMUST00000107892	A930013B10Rik
NM_001033266	Gm525
NM_026433	Tmem100
NM_026178	Mmd
NM_199008	Cox11
NM_028296	Car10
NM_134012	Mbtd1
NM_027569	Spag9
NM_009427	Tob1
NM_027799	Ankrd40
NM_007689	Chad
NM_133807	Lrrc59
NM_007742	Col1a1
NM_018792	Hils1
NM_172261	Ppp1r9b
NM_146025	Samd14
NM_010055	Dlx3
NM_053093	Tac4
NM_172543	Fam117a
NM_016752	Slc35b1
NM_025287	Spop
NR_028263	B130006D01Rik
NM_201609	Zfp652
NM_153104	Phospho1
NM_023121	Gngt2
NM_008119	Gip
NM_033568	Snf8
NM_172799	Ttll6
NM_008267	Hoxb13
NR_029721	Mir196a-1
NM_008270	Hoxb9
NM_010461	Hoxb8
NM_010460	Hoxb7
NM_008269	Hoxb6
NM_008268	Hoxb5
NR_029784	Mir10a
NM_010459	Hoxb4
NM_001079869	Hoxb3
NM_134032	Hoxb2
NM_008266	Hoxb1
NM_001033186	Skap1
NM_007622	Cbx1
NM_019877	Copz2
NR_029562	Mir152
NM_146026	Prr15l
NM_031183	Sp6
NM_146027	Scrn2
NM_026154	Mrpl10
NM_001081434	Osbpl7
NM_025927	Mrpl45
NM_138657	Socs7
NM_139311	Mllt6
NM_010688	Lasp1
NM_001080935	B230217C12Rik
NM_144828	Ppp1r1b
NM_021547	Stard3
NM_011540	Tcap
NM_008890	Pnmt
NM_001003817	Erbb2
NM_010346	Grb7
NM_027061	Zpbp2
XM_001476985	Gm12
NM_001007461	Gsdma3
NM_029727	Gsdma2
NM_021347	Gsdma
NM_009439	Psmd3
NM_009971	Csf3
NM_178060	Thra
NM_138660	Casc3
NM_001080925	Rapgefl1
NM_197940	Wipf2
NM_011799	Cdc6
NM_001177302	Rara
NM_010517	Igfbp4
NM_001177484	Gm11559
NM_015741	Krtap9-1
NM_001101613	Gm11567
NM_027568	Krtap31-1
NM_001126323	Gm11565
XR_030657	Gm11560
NM_001025244	Krtap31-2
NM_010257	Gast
NM_010221	Fkbp10
NM_025727	Klhl10
NM_028918	Ttc25
NM_009923	Cnp
NM_028024	Nkiras2
NM_029307	Hspb9
NM_011488	Stat5a
NM_016920	Atp6v0a1
NM_013792	Naglu
NM_010475	Hsd17b1
NM_027896	Coasy
NM_011550	Mlx
NM_134024	Tubg1
NM_134028	Tubg2
NM_016782	Cntnap1
NM_026776	Vps25
NM_175638	Wnk4
NM_026562	Cntd1
NM_011192	Psme3
NM_178932	Aoc2
NM_009675	Aoc3
NM_008061	G6pc
NM_027320	Ifi35
NM_009708	Rnd2
NM_008676	Nbr1
NM_144830	Tmem106a
NM_025654	Rdm1
NM_025404	Arl4d
NM_144831	Dhx8
ENSMUST00000078285	4930417O22Rik
NM_029287	1700006E09Rik
NM_001160711	Cd300lg
NM_178053	Nags
NM_175935	G6pc3
NM_153544	BC030867
NM_148953	Asb16
NM_028076	Tmub2
NM_016759	Rundc3a
NM_020510	Fzd2
NM_001127576	Gm1564
NM_001110778	Adam11
NM_080846	Higd1b
NM_028492	Ccdc103
NM_008707	Nmt1
NM_025988	Acbd4
NM_138753	Hexim1
NM_027658	Hexim2
NM_019679	Fmnl1
NM_001033212	Rprml
NM_009521	Wnt3
NM_007477	Arf2
NM_007762	Crhr1
NM_199019	4933407P14Rik
NM_001038609	Mapt
NM_010858	Myl4
NM_016780	Itgb3
ENSMUST00000055467	Gm11639
NM_001081046	Efcab3
NM_172567	Mettl2
ENSMUST00000100338	Gm10842
NM_001112705	Tlk2
NM_008626	Mrc2
NM_207624	Ace
NM_001037712	Kcnh6
NM_027946	Dcaf7
NM_027346	Taco1
NM_011947	Map3k3
ENSMUST00000100326	Gm10840
NM_028074	Ddx42
NM_008950	Psmc5
NM_029467	Tcam1
NM_029345	2310007L24Rik
NR_030703	Snord104
NM_001033435	Gm885
NM_177088	Ccdc45
NM_001163473	1810010H24Rik
NM_025894	Psmd12
NM_198298	Helz
NM_013475	Apoh
NM_029606	Ccdc46
NM_015732	Axin2
ENSMUST00000055404	9930022D16Rik
NM_025275	Amz2
NM_028710	Arsg
NM_021880	Prkar1a
NM_011943	Map2k6
NM_010604	Kcnj16
NM_008425	Kcnj2
XR_032030	Gm11675
NM_011448	Sox9
ENSMUST00000020950	4933434M16Rik
ENSMUST00000105048	Gm16487
NM_009217	Sstr2
NM_013581	Cog1
BC048942	D11Wsu47e
ENSMUST00000100243	Gm11691
NM_053273	Ttyh2
NM_001034878	Dnaic2
NM_001102615	Kif19a
NM_181749	Gpr142
NM_170758	Cd300a
NM_021411	Rab37
NM_012030	Slc9a3r1
NM_001033393	Tmem104
NM_172801	Otop2
NM_027132	Otop3
NM_001080929	Cdr2l
NM_026729	Ict1
NM_183285	Kctd2
NM_001033775	4933422H20Rik
NM_001080934	Slc16a5
NM_177778	Armc7
NM_001002929	Nup85
NM_025305	Mrps7
NM_028014	2310067B10Rik
NM_029557	Tsen54
NM_145438	Llgl2
ENSMUST00000093911	Myo15b
BC065414	2210020M01Rik
NM_001162998	1110017F19Rik
NM_020483	Sap30bp
NM_172569	Unk
NM_027107	2310004N24Rik
NR_004853	Cdk3
NM_010254	Galr2
XR_034731	Gm11741
NM_176902	Fam100b
NM_001172475	Sphk1
NR_033223	Aanat
NM_001163318	Gm11744
NR_027821	1810032O08Rik
NR_003364	BC018473
NM_028865	1110005A03Rik
NM_178620	Mfsd11
NM_172948	Mgat5b
AK171830	2810008D09Rik
NM_001166506	Sec14l1
NM_001113486	Sept9
ENSMUST00000092394	Gm11733
NR_015489	2900041M22Rik
NM_198022	Tnrc6c
NM_181856	Tmc8
NM_029964	6030468B19Rik
NM_009304	Syngr2
NM_027827	Afmid
NM_001012273	Birc5
NM_001085535	Gm12581
NM_133757	Pgs1
ENSMUST00000080727	Gm10099
NM_019959	C1qtnf1
NM_001030291	Enpp7
NM_007623	Cbx2
NM_175430	Ccdc40
NM_008064	Gaa
NM_130886	Card14
NM_178743	Slc26a11
NM_177394	A730011L01Rik
NM_028898	Rptor
NM_001085498	Chmp6
NM_130862	Baiap2
ENSMUST00000070897	Gm9734
NM_198423	Bahcc1
ENSMUST00000050697	0610009L18Rik
NM_172802	Fscn2
ENSMUST00000069526	Gm9981
NM_145363	Tspan10
NM_152807	Ccdc137
NM_001159328	Hgs
NM_027204	Mrpl12
NM_013770	Slc25a10
NM_008101	Gcgr
NM_001038230	Anapc11
NM_153288	Npb
NM_026877	Aspscr1
NM_153545	Lrrc45
NM_133223	Rac3
NM_001038653	Slc16a3
NM_028602	Tex19.1
NM_145440	Uts2r
NM_001146073	Hexdc
NM_026272	Narf
NM_001080932	Foxk2
NM_181420	Fn3krp
NM_001038699	Fn3k
NM_029878	Tbcd
NM_144797	Metrnl
NM_029049	Ptchd3
NM_030207	Sfi1
NM_007879	Drg1
NM_010718	Limk2
NM_145355	Rnf185
NM_172439	Inpp5j
NM_001159284	Smtn
NR_002321	Tug1
ENSMUST00000087968	Gm10216
NM_152818	Osbp2
NM_026150	4921536K21Rik
NM_153142	Slc35e4
NM_015749	Tcn2
NM_026443	1700020C11Rik
NM_144520	Sec14l2
NM_177616	Ccdc157
NM_029458	Hormad2
NM_028860	Mtmr3
NR_027798	Gm11961
NM_197979	Uqcr10
NM_138948	Cabp7
NM_010898	Nf2
NM_010904	Nefh
ENSMUST00000092922	Gm10278
NM_030228	Gas2l1
NM_080595	Emid1
NM_032396	Kremen1
NM_001080924	Znrf3
NM_134033	Ccdc117
NM_026080	Mrps24
NM_178623	Urgcp
NM_018870	Pgam2
NM_017401	Polm
NM_008894	Pold2
NM_022879	Myl7
NM_010292	Gck
NM_007595	Camk2b
NM_207242	Npc1l1
NM_026538	Ddx56
NM_134020	Tmed4
NM_029938	H2afv
NM_178440	Myo1g
NM_001081652	Nacad
NM_134011	Tbrg4
NM_011709	Wap
XR_033922	Gm11977
XR_032579	Gm11983
NM_008343	Igfbp3
NM_001083587	Tns3
ENSMUST00000055297	Pkd1l1
NM_008316	Hus1
NM_177576	Sun3
ENSMUST00000081896	4930512M02Rik
ENSMUST00000101517	Gm12000
NM_001163359	Fignl1
NM_016672	Ddc
NM_010345	Grb10
NM_172496	Cobl
NM_019549	Plek
NM_026576	Etaa1
NM_010789	Meis1
NM_146243	Actr2
NM_172260	Cep68
NM_018861	Slc1a4
NM_181411	Aftph
NM_173752	1110067D22Rik
NM_139297	Ugp2
NR_028259	4932414J04Rik
NM_008618	Mdh1
NM_011023	Otx1
NM_153078	Ehbp1
XR_033303	Gm4063
XR_033335	Gm12058
NM_016888	B3gnt2
NM_144514	Commd1
NM_026105	1700093K21Rik
NM_027860	0610010F05Rik
NR_004857	LOC100134990
NM_023651	Pex13
NM_009044	Rel
NM_172555	Papolg
ENSMUST00000068360	A830031A19Rik
NR_033491	Gm10466
NM_181577	Ccdc85a
NM_025740	Ccdc104
NM_001163454	Prdxdd1
NM_146016	Eml6
NM_175836	Spnb2
NM_001100394	4930505A04Rik
NM_029344	Acyp2
NM_025745	Erlec1
NM_026527	Chac2
NM_011491	Stc2
NM_001024919	Bod1
NM_001134458	Il9r
NM_010117	Rhbdf1
NM_181569	Nprl3
NM_027031	Efcab9
NM_027050	1700008A04Rik
NM_008005	Fgf18
NM_019916	Tlx3
NM_023146	Ranbp17
AY702092	Anp32-ps
NM_146017	Gabrp
NM_027398	Kcnip1
NM_023907	Foxi1
NM_033374	Dock2
NM_027411	Ccdc99
NM_001004147	Fbll1
NM_025936	Rars
NM_170779	Wwc1
NM_011856	Odz2
NM_134017	Mat2b
NM_013552	Hmmr
NM_009831	Ccng1
NM_008073	Gabrg2
NM_010250	Gabra1
NM_001099641	Gabra6
NR_029558	Mir146
NM_013917	Pttg1
NM_008375	Fabp6
NM_133795	Ttc1
NM_007416	Adra1b
NM_028185	Lsm11
NM_001080969	Thg1l
NM_172524	Nipal4
NM_133769	Cyfip2
NM_010583	Itk
NM_178247	Dppa1
NM_001161355	Timd2
NM_011891	Sgcd
NM_145377	Trim41
NM_008326	Irgm1
NM_001024230	Gm5431
NM_001045540	Gm12185
NM_173434	9930111J21Rik2
NM_146337	Olfr1396
NM_172793	Btnl9
AK006305	1700024J04Rik
NM_212484	Cnot6
NM_011018	Sqstm1
NM_008521	Ltc4s
NM_175334	Maml1
NM_007597	Canx
NM_172557	Rufy1
NM_013922	Zfp354c
NM_173387	Zfp879
NM_172794	Zfp454
NM_001044697	Zfp2
NM_013744	Zfp354b
ENSMUST00000109123	4933414I15Rik
NM_008936	Prop1
BC049762	BC049762
NM_001048061	Hnrnpab
NM_025346	Rmnd5b
NM_145974	C330016O10Rik
BC024353	0610009B22Rik
NM_175255	Sec24a
NM_199299	Phf15
NM_009458	Ube2b
NM_207227	Olfr1373
BC055827	Olfr1372-ps1
NM_207253	Olfr1371
NM_009331	Tcf7
NM_008300	Hspa4
NM_153069	Leap2
NM_025352	Uqcrq
ENSMUST00000084653	Gm10447
ENSMUST00000057722	Gm9837
NM_021283	Il4
NM_008355	Il13
NM_009012	Rad50
NM_011396	Slc22a5
NM_019723	Slc22a21
NM_019687	Slc22a4
NM_019417	Pdlim4
NM_009969	Csf2
NM_010556	Il3
NM_178626	Cdc42se2
NM_029327	Lyrm7
NM_021327	Tnip1
NM_177471	Ccdc69
NM_172258	Slc36a3
NM_153170	Slc36a2
NM_001029988	Fat2
NM_009242	Sparc
NM_009720	Atox1
NM_020492	Glra1
NM_153079	Nmur2
NR_028569	Snord1c
NM_001168668	Fam114a2
NM_008213	Hand1
NM_001166669	Gemin5
NR_028332	Zfp672
ENSMUST00000065533	Gm9900
NM_207527	4930504O13Rik
NM_146878	Olfr30
NM_001011770	Olfr332
NM_001011861	Olfr331
NM_001011531	Olfr329
NM_207695	Olfr224
NM_144544	2210407C18Rik
NM_146376	Olfr323
NM_001011769	Olfr317
NM_029283	Fam183b
NM_011758	Zfp39
NM_022423	Rnf187
NM_206882	Hist3h2bb
NM_173785	A230051G13Rik
NM_080454	Gjc2
NM_008193	Guk1
NM_009522	Wnt3a
NM_001045521	Prss38
NM_144521	Snap47
NM_178417	Zfp867
NM_001011789	Olfr222
XR_032580	Gm12261
NM_146429	Olfr223
NM_183139	Pld6
NM_146018	Flcn
NM_009026	Rasd1
NM_008819	Pemt
ENSMUST00000057382	4930412M03Rik
NM_011480	Srebf1
NM_153080	Tom1l2
NM_145427	Atpaf2
NM_022009	Flii
NM_009410	Top3a
NM_009171	Shmt1
XM_001003798	Gm12618
NM_173453	Tmem11
NM_025294	Gm16515
NR_027800	Gm16516
NM_001004143	Usp22
NM_007437	Aldh3a2
NM_001033542	Slc47a2
NM_026183	Slc47a1
XM_890719	Gm12271
NM_009548	Rnf112
NM_011841	Mapk7
ENSMUST00000074908	3110043A19Rik
NM_010148	Epn2
NM_001033227	Slc5a10
NM_144806	Prpsap2
NM_013881	Ulk2
ENSMUST00000101077	A530017D24Rik
NM_019921	Akap10
NM_027198	Zswim7
NM_011308	Ncor1
NM_028448	Cenpv
NM_198861	BC046404
NM_133208	Zfp287
NM_138949	Zfp286
NM_018805	Hs3st3b1
NM_178379	Cox10
NR_028445	F930015N05Rik
ENSMUST00000108696	1700086D15Rik
NM_145136	Myocd
NM_009157	Map2k4
NM_001099633	Dnahc9
NM_001034874	Shisa6
NR_033539	Gm12298
NM_025510	2310004I24Rik
NM_175681	Glp2r
NM_173754	Usp43
NM_027963	Wdr16
NM_008744	Ntn1
NM_023668	Ndel1
NM_145746	Odf4
NM_177566	Arhgef15
NM_001159519	Pfas
NM_009661	Alox8
NM_008192	Gucy2e
NM_172560	Cntrob
NM_025915	Tmem88
NM_001081330	Dnahc2
NM_007911	Efnb3
NM_144824	Wrap53
NM_013415	Atp1b2
NM_011367	Shbg
NM_011900	Mpdu1
NM_009853	Cd68
NM_001163571	Senp3
NM_001034097	Tnfsf12-Tnfsf13
NM_009089	Polr2a
NM_019871	Amac1
NM_009601	Chrnb1
NM_010198	Fgf11
BC137961	4933402P03Rik
NM_028855	Spem1
NM_198862	Nlgn2
NM_031880	Tnk1
NM_153143	Kctd11
NM_153788	Acap1
BC069874	2810408A11Rik
NM_009204	Slc2a4
NM_018740	Rai12
NM_017366	Acadvl
NM_172371	Slc16a13
NM_007528	Bcl6b
NM_001177601	0610010K14Rik
NM_173742	Rnasek
NM_007440	Alox12
NM_145684	Alox12e
NM_009660	Alox15
NM_029231	Pelp1
NM_023158	Cxcl16
NM_001013607	Vmo1
NM_009603	Chrne
NM_024211	Slc25a11
NM_011072	Pfn1
NM_172561	Spag7
NM_178116	Camta2
NM_213729	Inca1
NM_001045526	A430084P05Rik
NM_172394	Nup88
NM_007573	C1qbp
NM_178367	Dhx33
NM_033562	Derl2
NM_134022	6330403K07Rik
NM_001004142	Nlrp1a
NM_001162414	Nlrp1b
NR_027858	Nlrp1c
NM_053245	Aipl1
NM_001024927	Pitpnm3
BC043106	4933427D14Rik
NM_026068	Med31
NM_001004148	Slc13a5
NM_011569	Tekt1
NM_177776	Smtnl2
NM_153060	Spns2
NM_029932	Spns3
NM_001024926	Cyb5d2
NM_010353	Gsg2
NM_025318	Tmem93
NM_031251	Ctns
NM_023113	Aspa
NM_146921	Olfr1
NM_147024	Olfr378
NM_147025	Olfr380
NM_147022	Olfr381
NM_146443	Olfr382
NM_147023	Olfr385
NM_147009	Olfr389
NM_001159775	Olfr391
NM_147006	Olfr392
NM_147008	Olfr393
NM_147007	Olfr394
NM_147005	Olfr395
NM_146710	Olfr398
NM_147003	Olfr139
NM_147004	Olfr399
NM_146711	Olfr43
NM_146707	Olfr410
NM_146709	Olfr411
NM_001015046	Rap1gap2
NM_013625	Pafah1b1
NM_197943	Sgsm2
NM_013761	Srr
NM_010430	Hic1
NM_144491	Dph1
NM_001164223	Rpa1
NM_011340	Serpinf1
NM_008878	Serpinf2
NM_138950	Wdr81
NM_007873	Doc2b
NM_029548	Rph3al
NM_029658	Fam101b
NM_026664	Vps53
NM_026029	Glod4
NM_008750	Nxn
NM_198895	Abr
NM_016810	Gosr1
NM_007754	Cpd
NM_001012309	Ccdc55
NR_030756	Mir423
NM_176965	Efcab5
NM_172945	Ankrd13b
NM_001024920	Trp53i13
AK137634	LOC100038422
